id_lysi,date,volume,method,NO3_N,NH4_N,SO4,NO2_N,Chlorid,Phosphat,Bromid,Lithium,Natrium,Kalium,Magnesium,Calcium,Fluorid
32,2024-12-04,13.99,IC,11.26,0,79.98,0.03,7.13,0,0,0,7.27,6.13,12.42,134.9,0.13
1,2024-12-16,9.37,IC,23.16,0,77.63,0.07,181.58,0.27,0,0,48.06,243.69,37.07,150.13,0.23
2,2024-12-16,9.3,IC,14.96,0,52.8,0.03,8.66,0,0,0,5.59,4.79,9.86,120.14,0.13
3,2024-12-16,9.03,IC,24.29,0,69.19,0.06,93.54,0.1,0,0,52.73,254.55,43.91,144.19,0.13
4,2024-12-16,10.55,IC,18.77,0,31.12,0.03,10.09,0,0,0,5.86,9.52,7.34,87.67,0.18
5,2024-12-16,10.98,IC,37.95,0,105.13,0.04,163.57,0.24,0,0.02,61.43,298.51,44.71,163.2,0.18
6,2024-12-16,11.19,IC,18.34,0,35.68,0.02,12.45,0,0,0,4.63,4.87,6.97,82.62,0.19
7,2024-12-16,9.35,IC,23.53,0,30.52,0.04,104.85,0.26,0,0,53.29,278.89,48.68,206.06,0.14
8,2024-12-16,9.88,IC,18.26,0,31.05,0.04,4.8,0,0,0,4.51,2.38,7.41,90.35,0.17
9,2024-12-16,12.08,IC,28.49,0,69.76,0.03,98.17,0.42,0,0,50.28,247.37,38.7,144.93,0.17
10,2024-12-16,11.71,IC,18.22,0,27.46,0.03,5.61,0,0,0,5.16,6.36,6.49,79.23,0.18
11,2024-12-16,12.42,IC,37.06,0,61.06,0.04,97.87,0.3,0,0,48.14,220.37,36.22,137.39,0.18
12,2024-12-16,12.19,IC,20.56,0,21.7,0.03,11,0,0,0,5.54,6.27,7.47,92.4,0.17
13,2024-12-16,10.64,IC,29.35,0,63.44,0.04,68.21,0.28,0,0,51.71,248.08,35.03,122.56,0.18
14,2024-12-16,11.72,IC,19.1,0,28.18,0.03,10.17,0,0,0,5.21,7.07,6.99,83.79,0.18
15,2024-12-16,11.45,IC,29.42,0,77.99,0.04,97.59,0.3,0,0,52.71,223.78,37.11,145.97,0.21
16,2024-12-16,11.5,IC,21.33,0,31.14,0.03,13.76,0,0,0,5.97,5.29,9.51,119.66,0.14
17,2024-12-16,11.5,IC,33.28,0,85.28,0.04,119.77,0.08,0,0.02,57.5,253.41,43.18,153.51,0.19
18,2024-12-16,13.1,IC,23.11,0,20.48,0.03,17.25,0,0,0,4.62,6.07,8.83,111.61,0.15
19,2024-12-16,12.11,IC,36.53,0,64.12,0.05,66.59,0.37,0,0.02,54.69,282,36.8,128.98,0.19
20,2024-12-16,12.63,IC,16.57,0,27,0.04,8.33,0,0,0,5.88,4.95,9.7,121.67,0.13
21,2024-12-16,13,IC,31.28,0,75.85,0.05,90.31,0.02,0,0.02,55.61,247.8,42.21,144.25,0.17
22,2024-12-16,10.88,IC,20.53,0,33.68,0.03,15.5,0,0,0,4.74,6.41,6.93,85.94,0.19
23,2024-12-16,11.22,IC,26.97,0,68.72,0.04,98.41,0,0,0.02,53.65,252.4,44.95,150.97,0.14
24,2024-12-16,10.89,IC,16.01,0,43.8,0.03,11.98,0,0,0,7.12,7.46,8.8,95.68,0.18
25,2024-12-16,11.14,IC,28.99,0,89.54,0.04,103.15,0,0,0,55.36,250.12,45.9,152.03,0.15
26,2024-12-16,10.62,IC,16.58,0,37.07,0.03,7.28,0,0,0.02,6.44,5.29,10.08,109.26,0.14
27,2024-12-16,10.88,IC,27.56,0,111.22,0.06,159.31,0.08,0,0.02,59.47,266.25,50.44,180.12,0.17
28,2024-12-16,10.53,IC,17.67,0,47.47,0.03,12.13,0,0,0,8.06,5.98,9.44,108.83,0.15
29,2024-12-16,10.55,IC,8.04,0,98.07,0.03,164.27,0.41,0,0,56.91,275.51,57.68,265.7,0.11
30,2024-12-16,10.21,IC,14.41,0,42.86,0.03,7.31,0,0,0,6.86,5.43,8.89,99.55,0.14
31,2024-12-16,12.78,IC,21.15,0,74.1,0.07,156.62,0.22,0,0.02,54.98,267.62,45.05,156.44,0.19
32,2024-12-16,11.35,IC,14.33,0,52.18,0.03,6.65,0,0,0,6.34,4.3,10.84,127.37,0.14
1,2024-12-31,8.62,IC,29.59,0,55.88,0.04,110.54,0.46,0,0,42.95,219.25,30.72,125.55,0.21
2,2024-12-31,9.09,IC,21.64,0,34.89,0.03,20.43,0,0,0,5.65,5.32,9.99,122.18,0.12
3,2024-12-31,7.88,IC,36.34,0,49.44,0.05,65.3,0.07,0,0,48.14,235.54,38.78,140.92,0.11
4,2024-12-31,10.18,IC,26.86,0,22.52,0.03,25.11,0,0,0,5.46,9.01,7.43,91.54,0.18
5,2024-12-31,11.03,IC,45.23,0,70.85,0.04,95.39,0.35,0,0.02,55.01,267.01,36.07,133.5,0.2
6,2024-12-31,10.88,IC,26.6,0,25.61,0.03,29.93,0,0,0,4.85,5.45,7.45,91.16,0.19
7,2024-12-31,9.88,IC,34.56,0,21.21,0.04,75.79,0.33,0,0,49.14,262.16,44.41,188.61,0.13
8,2024-12-31,10.75,IC,27.24,0,19.97,0.05,20.87,0,0,0,4.45,2.17,7.67,94.99,0.17
9,2024-12-31,11.7,IC,33.74,0,45.6,0.03,66.93,0.6,0,0,42.36,217.77,31.29,122.15,0.17
10,2024-12-31,11.45,IC,28.18,0,19.16,0.03,25.6,0,0,0,5.39,7,7.11,89.84,0.17
11,2024-12-31,13.59,IC,36.01,0,44.14,0.03,65.37,0.46,0,0,40.09,191.39,28.18,111.99,0.19
12,2024-12-31,11.51,IC,25.71,0,16.04,0.03,19.42,0,0,0,5.46,6.62,7.14,89.95,0.17
13,2024-12-31,11.27,IC,41.75,0,44.5,0.03,52.78,0.46,0,0,46.98,227.43,29.4,108.98,0.19
14,2024-12-31,13.29,IC,28.39,0,18.29,0.03,28.87,0,0,0.02,5.16,6.65,7.35,91.47,0.19
15,2024-12-31,13.64,IC,40.42,0,49.21,0.03,61.91,0.44,0,0,46.6,204.37,31.16,126.24,0.21
16,2024-12-31,12.05,IC,27.75,0,21.88,0.03,21.09,0,0,0,6.04,5.41,9.62,124.44,0.14
17,2024-12-31,13.17,IC,38.49,0,49.64,0.03,71.25,0.3,0,0.02,49.16,224.31,33.94,126.17,0.19
18,2024-12-31,13.43,IC,21.71,0,14.36,0.03,16.75,0,0,0,4.39,5.91,8.2,104.48,0.15
19,2024-12-31,11.17,IC,48.04,0,44.37,0.04,46.94,0.52,0,0.02,47.93,258.2,30.49,110.49,0.18
20,2024-12-31,12.01,IC,23.85,0,18.55,0.03,21.91,0,0,0,5.99,5.11,9.98,128.38,0.12
21,2024-12-31,12.67,IC,41.8,0,49.18,0.04,59,0.13,0,0,48.36,222.31,35.17,130.02,0.17
22,2024-12-31,10.47,IC,24.93,0,24.44,0.03,21.29,0,0,0,4.67,7.05,6.95,85.49,0.19
23,2024-12-31,11.17,IC,39.17,0,50.1,0.03,67.55,0.1,0,0.02,48.83,233.15,39.02,138.94,0.15
24,2024-12-31,10.5,IC,22.56,0,31.65,0.03,26.25,0,0,0,6.84,7.79,8.64,96.15,0.17
25,2024-12-31,10.58,IC,38.78,0,56.79,0.03,57.46,0.07,0,0,48.95,223.28,37.48,132.71,0.17
26,2024-12-31,10.06,IC,25.04,0,26.73,0.02,20.28,0,0,0,6.43,5.59,9.98,109.97,0.13
27,2024-12-31,10.41,IC,37.51,0,71.75,0.03,98.1,0.23,0,0,51.82,236.14,40.78,149.43,0.16
28,2024-12-31,10.46,IC,24.59,0,31.21,0.03,19.26,0,0,0,7.95,5.74,8.95,106.06,0.15
29,2024-12-31,10.48,IC,10.7,0,63.88,0.02,98.55,0.7,0.01,0,50.96,251.29,46.44,212.07,0.11
30,2024-12-31,10.93,IC,17.43,0,28.11,0.03,16,0,0,0,6.75,5.08,8.1,91.9,0.15
31,2024-12-31,12.36,IC,24.8,0,49.3,0.03,87.37,0.53,0,0.03,47.38,233.51,34.71,121.74,0.18
32,2024-12-31,10.84,IC,19.18,0,35.17,0.02,13.2,0,0,0,6.16,4.17,10.44,124.93,0.13
1,2025-01-07,16.1,IC,25.69,0,36.48,0.06,53.74,1.79,0,0,34.58,185.05,23,100.15,0.24
2,2025-01-07,19.01,IC,18.79,0,17.91,0.05,18.08,0,0,0,4.49,3.13,7.61,102.74,0.15
3,2025-01-07,14.93,IC,31.55,0,26.29,0.07,27.64,0,0,0,37.08,198.35,30.34,73.9,0.13
4,2025-01-07,22.12,IC,14.23,0,10.69,0.06,10.08,0,0,0,3.43,4.99,4.72,62.78,0.21
5,2025-01-07,18.53,IC,49.42,0,38.52,0.07,49.33,1.62,0,0.03,44.39,228.8,28.13,114.23,0.21
6,2025-01-07,17.45,IC,19.07,0,16.37,0,18.23,0,0,0,3.68,3.77,5.62,76.89,0.22
7,2025-01-07,12.58,IC,37.42,0,37.05,0.05,43.98,0,0,0,42.61,233.14,38.6,88.44,0.11
8,2025-01-07,14.02,IC,28.03,0,14.84,0.06,24.56,0,0,0,4.09,1.87,6.63,91.46,0.18
9,2025-01-07,15.77,IC,38.07,0,45.03,0.06,49.41,1.52,0,0,40.49,206.2,28.65,117.13,0.22
10,2025-01-07,15.23,IC,27.35,0,15.96,0.05,21.75,0,0,0,4.46,4.56,6.1,86.31,0.19
11,2025-01-07,19.73,IC,25.62,0,24.17,0.06,28.1,1.69,0,0,28.3,155.61,20.62,89.06,0.19
12,2025-01-07,20.21,IC,14.96,0,8.4,0.06,9.13,0,0,0,4.23,2.84,5.12,70.74,0.21
13,2025-01-07,18.7,IC,38.77,0,29.13,0.07,28.39,1.66,0,0,39.47,203.61,25.29,102.33,0.19
14,2025-01-07,22.6,IC,15.92,0,10.15,0.05,11.77,0,0,0,3.59,3.12,5.28,72.28,0.21
15,2025-01-07,22.16,IC,36.44,0,32.34,0.08,31.05,1.57,0,0,38.32,178.77,25.63,109.22,0.2
16,2025-01-07,19.61,IC,19.05,0,13.62,0.05,11.09,0,0,0,4.76,3.13,7.29,103.35,0.15
17,2025-01-07,17.87,IC,42.22,0,41.64,0.05,50.36,1.47,0,0,44.12,211.22,30.97,124.69,0.19
18,2025-01-07,17.52,IC,16.89,0,12.07,0.05,10.15,0,0,0,3.55,3.72,6.48,89.31,0.18
19,2025-01-07,16.32,IC,47.54,0,36.47,0.06,28.47,1.62,0,0.04,41.27,228.29,26.71,105.21,0.18
20,2025-01-07,15.27,IC,21.33,0,14.66,0.04,16.09,0,0,0,5.02,3.54,7.99,112.33,0.14
21,2025-01-07,22.58,IC,32.7,0,28.26,0.06,24.59,1.54,0,0,38.16,190.2,27.29,114.49,0.17
22,2025-01-07,17.55,IC,17.04,0,13.28,0.05,11.94,0,0,0,3.21,3.57,4.86,67.59,0.2
23,2025-01-07,19.49,IC,33.38,0,29.3,0.06,31.5,1.49,0,0,37.25,194.69,30.24,124.45,0.16
24,2025-01-07,19.05,IC,18.02,0,18.82,0.05,15.79,0,0,0,5.2,4.41,6.49,82.42,0.19
25,2025-01-07,17.77,IC,32.7,0,25.92,0.06,23.16,1.49,0,0,36.86,187.58,28.18,116.11,0.17
26,2025-01-07,17.41,IC,20.35,0,16.77,0.05,12.1,0,0,0,5.27,3.64,8.01,100.55,0.16
27,2025-01-07,16.37,IC,29.17,0,35.86,0.06,40.7,1.53,0,0,38.53,193.53,29.46,118.82,0.16
28,2025-01-07,16.37,IC,17.03,0,16.54,0.05,11.03,0,0,0,7.05,3.96,6.76,88.16,0.17
29,2025-01-07,18.81,IC,16.23,0,39.96,0.05,44.65,0,0,0,41.73,221.06,36.84,51.57,0.08
30,2025-01-07,17.68,IC,13.1,0,14.3,0.05,11.26,0,0,0,6.39,3.9,6.96,87.79,0.17
31,2025-01-07,20.52,IC,22.28,0,36.06,0.06,44.66,1.87,0,0,37.64,197.65,28.42,114.18,0.17
32,2025-01-07,19.26,IC,16.92,0,19.24,0.05,11.17,0,0,0,5.28,3.18,7.4,97.34,0.16
1,2025-01-14,5.03,IC,25.32,0,32.06,0.03,41.21,1.24,0,0,32.19,177.67,20.7,92.21,0.21
2,2025-01-14,8.08,IC,18.55,0,16.57,0.03,16.03,0,0,0,4.62,3.78,8.02,99.11,0.14
3,2025-01-14,4.84,IC,28.5,0,25.42,0.03,23.94,0.79,0,0,35.75,195.18,27.67,114.74,0.14
4,2025-01-14,6.3,IC,17.15,0,12.37,0.03,11.24,0,0,0,4.02,5.81,5.42,70.82,0.21
5,2025-01-14,6.28,IC,37.5,0,28.08,0.03,31.83,0.69,0,0,39.2,224.91,34.09,151.22,0.13
6,2025-01-14,6.6,IC,18.01,0,13.99,0.02,14.2,0,0,0,3.82,3.77,5.36,71.57,0.2
7,2025-01-14,4.61,IC,42.43,0,30.3,0.02,31.74,0.88,0,0,41.56,224.53,26.01,103.29,0.19
8,2025-01-14,6.03,IC,23.72,0,12.18,0.03,18.86,0,0,0,4.05,1.84,6.3,83,0.18
9,2025-01-14,6.02,IC,38.24,0,30.62,0.03,36.44,0.82,0,0,35.97,195.36,25.09,104.69,0.18
10,2025-01-14,6.46,IC,22.93,0,13.23,0.03,14.12,0,0,0,4.49,4.64,5.68,76.69,0.18
11,2025-01-14,6.42,IC,28.52,0,27.61,0.03,28.84,0.84,0,0,29.52,158.73,20.66,90.72,0.18
12,2025-01-14,5.98,IC,14.55,0,7.8,0.02,8.28,0,0,0,5,5.61,5.12,66.47,0.2
13,2025-01-14,6.32,IC,33.08,0,24.04,0.03,19.65,0.8,0,0,36.1,192.19,22.86,93.06,0.19
14,2025-01-14,6.56,IC,13.33,0,8.41,0.03,8.71,0,0,0,4.02,4.65,5.1,65.83,0.21
15,2025-01-14,6.07,IC,31.66,0,22.29,0.03,19.33,0.79,0,0,35.85,175.46,23.01,100.01,0.19
16,2025-01-14,6.75,IC,16.38,0,10.18,0.03,8.64,0,0,0,5.09,4.19,6.92,92.05,0.16
17,2025-01-14,6.81,IC,39.86,0,28.93,0.02,32.5,0.49,0,0,40.37,202.1,27.83,110.26,0.18
18,2025-01-14,7.83,IC,13.1,0,8.09,0.03,5.89,0,0,0,3.66,4.19,5.78,78.39,0.17
19,2025-01-14,6.78,IC,43.19,0,24.37,0.03,18.88,0.93,0,0.03,37.97,217.82,22.51,91.08,0.19
20,2025-01-14,7.41,IC,16.84,0,11.23,0.03,9.44,0,0,0,5.06,3.48,7.15,100.64,0.14
21,2025-01-14,6.35,IC,27.45,0,21.28,0.03,15.39,0.57,0,0,33.83,178.17,23.62,96.86,0.17
22,2025-01-14,6.45,IC,16.53,0,11.09,0.03,10.34,0,0,0.03,3.73,4.23,4.96,66.73,0.23
23,2025-01-14,6.5,IC,30.46,0,25.19,0.03,23.61,0.48,0,0,36.35,190.87,27.78,113,0.15
24,2025-01-14,6.42,IC,14.29,0,15.87,0.03,10.4,0,0,0,5.5,4.39,5.98,74.36,0.2
25,2025-01-14,6.5,IC,28.55,0,23.15,0.02,16.91,0.47,0,0,34.69,182.09,25.33,103.74,0.17
26,2025-01-14,6.67,IC,15.15,0,12.07,0.02,7.43,0,0,0,5.09,3.45,7.15,88.75,0.16
27,2025-01-14,6.22,IC,28.64,0,35.62,0.03,35.7,0.53,0,0,36.97,192.58,27.69,114.32,0.16
28,2025-01-14,6.05,IC,17.04,0,13.8,0.03,10.5,0,0,0,7.24,4.19,6.59,84.47,0.18
29,2025-01-14,5.78,IC,16.26,0,29.62,0.02,27.64,0.91,0,0,36.59,209.27,29.54,144.11,0.11
30,2025-01-14,5.8,IC,12.8,0,11.13,0.03,10.11,0,0,0,6.57,3.81,6.7,84.53,0.17
31,2025-01-14,6.24,IC,19.86,0,27.19,0.03,28.95,1.05,0,0,35.37,190.98,24.05,96.78,0.17
32,2025-01-14,5.64,IC,14.7,0,15.35,0.03,8.96,0,0,0,5.42,3.61,7.06,85.91,0.17
1,2025-01-28,10.98,IC,31.8,0,35.81,0.03,40.12,0.93,0,0,34.85,191.42,22.75,101.84,0.2
2,2025-01-28,10.67,IC,18.94,0,15.76,0.03,13.89,0,0,0,5.06,4.55,7.45,97.94,0.15
3,2025-01-28,9.12,IC,35.02,0,20.73,0.04,18.54,0.71,0,0,37.18,212.43,30.33,126.37,0.13
4,2025-01-28,11.1,IC,17.15,0,11.52,0.03,8.55,0,0,0,4.28,5.89,5.49,74.37,0.2
5,2025-01-28,12.22,IC,46.06,0,31.25,0.03,28.39,0.71,0,0.03,43.5,234.67,27.33,110.9,0.19
6,2025-01-28,10.78,IC,16.44,0,12.01,0.03,9.04,0,0,0,4.12,4.47,5.21,70.91,0.21
7,2025-01-28,9.38,IC,37.18,0.12,21.11,0.03,19.27,0.71,0,0,36.78,223.2,32.47,143.15,0.12
8,2025-01-28,10.46,IC,22.8,0,11.45,0.04,13.86,0,0,0,4.1,1.94,6.32,85.75,0.19
9,2025-01-28,11.87,IC,43.88,0,28.43,0.03,32.36,0.69,0,0,37.6,209.23,26.97,112.26,0.17
10,2025-01-28,11.03,IC,19.96,0,11.29,0.03,8.39,0,0,0,4.8,5.38,5.23,72.69,0.19
11,2025-01-28,10.95,IC,39.43,0,33.95,0.03,29.79,0.61,0,0,33.44,178.87,24.11,103.3,0.18
12,2025-01-28,10.92,IC,17.41,0,8.67,0,8.07,0,0,0,5.27,6.19,5.38,72.94,0.19
13,2025-01-28,11.86,IC,40.92,0,25.98,0.03,18.36,0.79,0,0,38.02,207.35,24.96,101.65,0.17
14,2025-01-28,11.36,IC,14.33,0.01,8.21,0.02,7.36,0,0,0,4.23,5.85,5.07,67.45,0.21
15,2025-01-28,10.93,IC,36.53,0,24.33,0.03,18.5,0.48,0,0,36.97,183.04,24.52,104.5,0.19
16,2025-01-28,11.34,IC,15.85,0,9.5,0.03,6.88,0,0,0,5.25,4.97,6.48,88.14,0.17
17,2025-01-28,11.18,IC,45.85,0,27.77,0.03,28.98,0.4,0,0,41.7,211.57,28.76,117.79,0.18
18,2025-01-28,12.37,IC,12.86,0,8.06,0.03,4.15,0,0,0,3.88,4.7,5.99,81.1,0.18
19,2025-01-28,12.07,IC,47.43,0,21.58,0.04,16.81,0.74,0,0,39.06,232.55,25.06,100.39,0.18
20,2025-01-28,12.08,IC,16.56,0,9.93,0.03,6.92,0,0,0,5.49,4.19,7.11,98.4,0.15
21,2025-01-28,12.01,IC,30.59,0,19.99,0.03,11.92,0.5,0,0,34.5,189.55,24.73,104.73,0.16
22,2025-01-28,10.68,IC,18.16,0,11.65,0.03,9.63,0,0,0,3.98,5.53,5.29,70.91,0.22
23,2025-01-28,11.84,IC,34.22,0,24.55,0.03,19.84,0.47,0,0,37.73,201.03,29.02,119.03,0.15
24,2025-01-28,11.24,IC,16.11,0,14.66,0.04,10.72,0,0,0,5.81,5.59,6.36,78.34,0.2
25,2025-01-28,11.55,IC,35.75,0,24.55,0.03,17.22,0.37,0,0,36.92,195.11,28.07,114.35,0.16
26,2025-01-28,10.73,IC,15.78,0,11.18,0.03,7.3,0,0,0,5.52,4.54,7.27,88.84,0.16
27,2025-01-28,10.63,IC,37.61,0,39.91,0.03,34.72,0.47,0,0,40.72,208.65,30.8,125.46,0.15
28,2025-01-28,10.85,IC,20.37,0,16.23,0.02,11.25,0,0,0,8.05,5.11,6.91,87.76,0.17
29,2025-01-28,11.32,IC,18.3,0,33.08,0.23,25.08,1.3,0,0,36.83,218.82,31.87,154.19,0.11
30,2025-01-28,11.21,IC,15.54,0,11.89,0.03,11.81,0,0,0,6.83,4.75,6.9,86.39,0.17
31,2025-01-28,12.38,IC,23.62,0,27.54,0.02,23.34,1.07,0,0,35.34,206.39,25.5,103.47,0.16
32,2025-01-28,10.89,IC,14.59,0,14.26,0.02,7.33,0.01,0,0,5.51,3.68,7.25,93.37,0.16
1,2025-02-11,2.92,IC,32.08,0,32.87,0.02,30.05,0.81,0,0,33.38,189.8,22.08,92.54,0.19
2,2025-02-11,4.57,IC,18.36,0,13.86,0.03,11.28,0,0,0,5.33,5.53,7.29,92.21,0.15
3,2025-02-11,1.54,IC,32.77,0,19.92,0.02,15.16,0.63,0,0,34.83,202.62,28.68,117.89,0.13
4,2025-02-11,4.26,IC,17.51,0,11.1,0.03,7.29,0,0,0,5.01,9.09,5.41,70.26,0.2
5,2025-02-11,3.86,IC,44.21,0,22.76,0.02,19.68,0.68,0,0.03,41.82,230.62,25.21,92.81,0.18
6,2025-02-11,4.05,IC,16.36,0,11.22,0.03,6.9,0,0,0,4.84,6.48,5.13,63.31,0.21
7,2025-02-11,1.42,IC,36.83,0.04,18.59,0.02,16.32,0.54,0,0,34.75,218.44,30.83,138.45,0.12
8,2025-02-11,4.69,IC,19.09,0,9.66,0.03,8.25,0,0,0,4.12,2.03,6.06,77.74,0.18
9,2025-02-11,4.05,IC,44.42,0,23.35,0.02,27.31,0.63,0,0,36.38,204.64,25.95,101.65,0.16
10,2025-02-11,5,IC,18.31,0,9.77,0.03,5.54,0,0,0,5.02,6.3,5.2,66.46,0.19
11,2025-02-11,3.97,IC,43.72,0,30.99,0.03,25.58,0.5,0,0,33.46,178.56,23.9,96.2,0.16
12,2025-02-11,4.89,IC,17.16,0,8.42,0.02,6.52,0,0,0.03,6.58,11.9,5.35,65.48,0.18
13,2025-02-11,4.08,IC,41.11,0,21.33,0.02,14.26,0.55,0,0,36.07,199.45,23.51,88.94,0.17
14,2025-02-11,4.75,IC,14.28,0,8.05,0.02,5.42,0,0,0,5.38,9.52,5.02,61.65,0.21
15,2025-02-11,4.1,IC,35.41,0,18.52,0.02,12.45,0.6,0,0,35.44,180.88,23.5,96.8,0.18
16,2025-02-11,4.63,IC,16.09,0,9.22,0.03,5.97,0,0,0,6.22,7.71,6.4,81.3,0.17
17,2025-02-11,4.35,IC,44.43,0,22.76,0.02,22.6,0.3,0,0,40.24,204.58,27.56,97.75,0.17
18,2025-02-11,3.91,IC,12.06,0,6.91,0.03,3.01,0,0,0.03,4.87,8.83,6.11,74.13,0.17
19,2025-02-11,3.98,IC,45.73,0,18.35,0.02,13.35,0.63,0,0.03,39.97,232,23.72,83.49,0.17
20,2025-02-11,5.11,IC,15.9,0,9.01,0.02,5.54,0,0,0,6.17,5.85,7.12,94.81,0.15
21,2025-02-11,3.98,IC,33.04,0,19.28,0.02,10.25,0.34,0,0,35.18,188.64,24.59,90.14,0.16
22,2025-02-11,4.22,IC,17.18,0,10.25,0.03,7.43,0,0,0,4.69,7.56,5.28,65.95,0.21
23,2025-02-11,4.13,IC,35.81,0,22.89,0.02,17.49,0,0,0.03,38.15,199.94,28.78,107.4,0.15
24,2025-02-11,4.82,IC,39.73,0,24.44,0.02,16.24,0.3,0,0,38.04,199.66,28.72,105.92,0.16
25,2025-02-11,4.28,IC,16.17,0,13.62,0.03,9.42,0,0,0,6.43,5.9,6.3,75.07,0.19
26,2025-02-11,4.77,IC,16.3,0,10.04,0.02,6.81,0,0,0,5.61,4.93,7.26,83.01,0.16
27,2025-02-11,4.07,IC,40.38,0,36.53,0.03,26.94,0.37,0,0,39.17,204.02,30.23,112.11,0.15
28,2025-02-11,4.56,IC,21.97,0,14.51,0.03,10.84,0,0,0,7.9,5.42,6.91,84.77,0.18
29,2025-02-11,3.38,IC,20.9,0,31.46,0.03,22.7,1.01,0,0,36.23,217.27,31.69,153.56,0.11
30,2025-02-11,4.25,IC,15.35,0,10.27,0.04,9.57,0,0,0,6.92,4.39,6.66,80.45,0.17
31,2025-02-11,3.36,IC,24.88,0,26.36,0.02,20.21,0.68,0,0.03,38.63,206.32,23.36,77.28,0.16
32,2025-02-11,3.55,IC,15.29,0,13.36,0.03,6.51,0,0,0,5.69,4.18,7.64,92.29,0.16
1,2025-02-25,5.56,IC,34.93,0,32.09,0.02,26.01,0.66,0,0,34.12,196.38,24.18,100.27,0.17
2,2025-02-25,5.91,IC,17.96,0,12.93,0.03,8.93,0.01,0,0,5.63,6.48,7.45,93.57,0.15
3,2025-02-25,3.31,IC,34.42,0,18.58,0.03,12.47,0.71,0,0,34.06,203.87,29.1,119.68,0.12
4,2025-02-25,5.94,IC,16.63,0,10.13,0.03,5.14,0,0,0,5.17,10.03,5.69,70.57,0.19
5,2025-02-25,5.7,IC,46.24,0,20.76,0.02,16.31,0.65,0,0.04,42.01,238.65,27.32,99.37,0.15
6,2025-02-25,5.31,IC,15.75,0,10.73,0.02,4.7,0,0,0,4.99,7.68,5.33,63.18,0.2
7,2025-02-25,3.02,IC,37.05,0,17.55,0.02,13.06,0.59,0,0,35.4,214.69,30.54,133.26,0.12
8,2025-02-25,5.66,IC,18.46,0,9.44,0.03,5.42,0.01,0,0,4.29,2.25,6.46,80.84,0.17
9,2025-02-25,5.99,IC,44.13,0,20.95,0.02,21.63,0.64,0,0,35.58,208.89,27.51,107.3,0.14
10,2025-02-25,6.02,IC,17.19,0,9.41,0.03,3.69,0,0,0,5.67,8.91,5.43,66.77,0.18
11,2025-02-25,5.38,IC,44.75,0,26.39,0.02,20.46,0.51,0,0,33.25,184.39,24.91,98.95,0.14
12,2025-02-25,6.02,IC,16.56,0,8.11,0.02,4.63,0,0,0.04,6.3,10.6,5.6,69.66,0.18
13,2025-02-25,5.87,IC,43.98,0,19.8,0.02,12.92,0.53,0,0,37.01,210.3,26.16,95.5,0.14
14,2025-02-25,5.97,IC,14.55,0,8.01,0.02,3.73,0,0,0,5.4,10.66,5.25,64.16,0.2
15,2025-02-25,5.93,IC,37.03,0,17.89,0.02,10.62,0.53,0,0,35.98,189.74,26.16,104.91,0.15
16,2025-02-25,5.97,IC,15.08,0,8.69,0.03,4.27,0,0,0,6.37,8.24,6.47,81.11,0.17
17,2025-02-25,5.53,IC,45.42,0,19.99,0.02,17.97,0.33,0,0.04,39.78,209.74,28.42,100.75,0.14
18,2025-02-25,6.14,IC,12.65,0,7.34,0.04,2.32,0,0,0,4.59,7.93,6.4,79.11,0.16
19,2025-02-25,5.93,IC,46.05,0,16.61,0.05,10.49,0.54,0,0.04,38.07,238.32,25.48,90.58,0.14
20,2025-02-25,6.12,IC,15.65,0,8.54,0.04,3.72,0,0,0,6.39,6.63,7.33,94.95,0.14
21,2025-02-25,6.05,IC,31.8,0,16.56,0.03,7.47,0.26,0,0,34.14,192.29,25.71,93.03,0.14
22,2025-02-25,5.41,IC,16.8,0,9.94,0.03,5.38,0,0,0,4.81,9.12,5.38,65.51,0.21
23,2025-02-25,6.01,IC,36.39,0,20.23,0.03,13.73,0.31,0,0.04,36.59,200.56,29.21,109.76,0.13
24,2025-02-25,5.98,IC,15.91,0,11.6,0.03,7.05,0,0,0,6.73,8.39,6.5,76.26,0.19
25,2025-02-25,5.87,IC,38.7,0,19.82,0.03,13.97,0.22,0,0,36.4,197.96,28.77,103.92,0.14
26,2025-02-25,5.94,IC,15.43,0,9.19,0.02,4.97,0,0,0,6.17,6.74,7.34,81.34,0.15
27,2025-02-25,5.17,IC,42.61,0,30.46,0.03,22.56,0.26,0,0,39.48,209.61,30.69,113.07,0.13
28,2025-02-25,5.88,IC,21.86,0,13.69,0.04,8.74,0,0,0,8.26,6.7,7.12,85.23,0.17
29,2025-02-25,5.56,IC,15.77,0,29.32,0.03,18.63,1.24,0,0,34.68,215.69,32.14,154.93,0.1
30,2025-02-25,5.93,IC,16.7,0,10.79,0.03,8.63,0,0,0,7.5,5.65,7.02,80.68,0.16
31,2025-02-25,5.99,IC,26.74,0,26.07,0.03,16.67,0.69,0,0.04,35.95,204.19,25.29,90.75,0.14
32,2025-02-25,5.46,IC,14.39,0,12.08,0.03,4.91,0.01,0,0,5.92,4.82,7.99,95.13,0.15
1,2025-03-11,1.14,IC,37.28,0,35.18,0.03,25.12,0.15,0,0,35.65,197.52,23,84.59,0.18
2,2025-03-11,0.87,IC,19.79,0,16.6,0.04,9.19,0,0,0.04,11.04,18.45,7.36,77.35,0.15
